complaintid,citizenid,departmentid,categoryid,complaintdetails,complaintstatus,created_at
CMP00510,C0449,D009,CAT004,Complaint about CAT004 issue in area XYZ,Submitted,2023-10-18 00:00:00
CMP00511,C0631,D006,CAT006,Complaint about CAT006 issue in area XYZ,Resolved,2023-03-19 00:00:00
CMP00512,C0069,D001,CAT005,Complaint about CAT005 issue in area XYZ,Resolved,2023-03-20 00:00:00
CMP00513,C0333,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-04-12 00:00:00
CMP00514,C0558,D001,CAT005,Complaint about CAT005 issue in area XYZ,Resolved,2023-08-03 00:00:00
CMP00515,C0840,D008,CAT003,Complaint about CAT003 issue in area XYZ,In Progress,2023-06-21 00:00:00
CMP00516,C0141,D001,CAT005,Complaint about CAT005 issue in area XYZ,Closed,2023-07-26 00:00:00
CMP00517,C0035,D009,CAT004,Complaint about CAT004 issue in area XYZ,Resolved,2023-05-25 00:00:00
CMP00518,C0086,D008,CAT003,Complaint about CAT003 issue in area XYZ,Resolved,2023-03-24 00:00:00
CMP00519,C0571,D001,CAT005,Complaint about CAT005 issue in area XYZ,Submitted,2023-07-07 00:00:00
CMP00520,C0005,D002,CAT002,Complaint about CAT002 issue in area XYZ,Closed,2023-09-30 00:00:00
CMP00521,C0258,D006,CAT006,Complaint about CAT006 issue in area XYZ,Resolved,2023-08-16 00:00:00
CMP00522,C0978,D004,CAT008,Complaint about CAT008 issue in area XYZ,In Progress,2023-10-19 00:00:00
CMP00523,C0720,D008,CAT003,Complaint about CAT003 issue in area XYZ,Closed,2023-10-22 00:00:00
CMP00524,C0678,D006,CAT006,Complaint about CAT006 issue in area XYZ,In Progress,2023-01-29 00:00:00
CMP00525,C0578,D004,CAT008,Complaint about CAT008 issue in area XYZ,In Progress,2023-09-12 00:00:00
CMP00526,C0669,D009,CAT004,Complaint about CAT004 issue in area XYZ,Submitted,2023-05-26 00:00:00
CMP00527,C0243,D006,CAT006,Complaint about CAT006 issue in area XYZ,Resolved,2023-01-31 00:00:00
CMP00528,C0283,D007,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-04-29 00:00:00
CMP00529,C0761,D007,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-03-21 00:00:00
CMP00530,C0409,D006,CAT006,Complaint about CAT006 issue in area XYZ,In Progress,2023-07-13 00:00:00
CMP00531,C0679,D004,CAT008,Complaint about CAT008 issue in area XYZ,Closed,2023-06-29 00:00:00
CMP00532,C0163,D005,CAT007,Complaint about CAT007 issue in area XYZ,Submitted,2023-08-14 00:00:00
CMP00533,C0683,D006,CAT006,Complaint about CAT006 issue in area XYZ,In Progress,2023-06-01 00:00:00
CMP00534,C0415,D009,CAT004,Complaint about CAT004 issue in area XYZ,Resolved,2023-01-06 00:00:00
CMP00535,C0676,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-03-30 00:00:00
CMP00536,C0513,D009,CAT004,Complaint about CAT004 issue in area XYZ,Submitted,2023-05-12 00:00:00
CMP00537,C0794,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-08-09 00:00:00
CMP00538,C0357,D002,CAT002,Complaint about CAT002 issue in area XYZ,Closed,2023-09-17 00:00:00
CMP00539,C0847,D001,CAT005,Complaint about CAT005 issue in area XYZ,Resolved,2023-06-11 00:00:00
CMP00540,C0938,D005,CAT007,Complaint about CAT007 issue in area XYZ,Closed,2023-07-09 00:00:00
CMP00541,C0092,D006,CAT006,Complaint about CAT006 issue in area XYZ,In Progress,2023-05-24 00:00:00
CMP00542,C0046,D002,CAT002,Complaint about CAT002 issue in area XYZ,Submitted,2023-08-24 00:00:00
CMP00543,C0423,D005,CAT007,Complaint about CAT007 issue in area XYZ,Submitted,2023-05-24 00:00:00
CMP00544,C0277,D001,CAT005,Complaint about CAT005 issue in area XYZ,Closed,2023-10-28 00:00:00
CMP00545,C0583,D009,CAT004,Complaint about CAT004 issue in area XYZ,Closed,2023-01-20 00:00:00
CMP00546,C0637,D001,CAT005,Complaint about CAT005 issue in area XYZ,Resolved,2023-01-22 00:00:00
CMP00547,C0878,D004,CAT008,Complaint about CAT008 issue in area XYZ,Closed,2023-02-21 00:00:00
CMP00548,C0736,D004,CAT008,Complaint about CAT008 issue in area XYZ,Resolved,2023-06-07 00:00:00
CMP00549,C0019,D001,CAT005,Complaint about CAT005 issue in area XYZ,Closed,2023-02-04 00:00:00
CMP00550,C0056,D004,CAT008,Complaint about CAT008 issue in area XYZ,Resolved,2023-10-16 00:00:00
CMP00551,C0362,D007,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-03-02 00:00:00
CMP00552,C0970,D001,CAT005,Complaint about CAT005 issue in area XYZ,In Progress,2023-09-03 00:00:00
CMP00553,C0233,D006,CAT006,Complaint about CAT006 issue in area XYZ,Closed,2023-03-16 00:00:00
CMP00554,C0979,D001,CAT005,Complaint about CAT005 issue in area XYZ,Resolved,2023-07-31 00:00:00
CMP00555,C0130,D009,CAT004,Complaint about CAT004 issue in area XYZ,Closed,2023-04-13 00:00:00
CMP00556,C0847,D003,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-07-15 00:00:00
CMP00557,C0943,D002,CAT002,Complaint about CAT002 issue in area XYZ,Submitted,2023-03-12 00:00:00
CMP00558,C0689,D005,CAT007,Complaint about CAT007 issue in area XYZ,In Progress,2023-07-17 00:00:00
CMP00559,C0542,D004,CAT008,Complaint about CAT008 issue in area XYZ,Submitted,2023-02-08 00:00:00
CMP00560,C0621,D002,CAT002,Complaint about CAT002 issue in area XYZ,Closed,2023-09-29 00:00:00
CMP00561,C0262,D007,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-02-14 00:00:00
CMP00562,C0853,D009,CAT004,Complaint about CAT004 issue in area XYZ,Closed,2023-02-18 00:00:00
CMP00563,C0575,D006,CAT006,Complaint about CAT006 issue in area XYZ,In Progress,2023-10-18 00:00:00
CMP00564,C0840,D009,CAT004,Complaint about CAT004 issue in area XYZ,In Progress,2023-04-23 00:00:00
CMP00565,C0598,D009,CAT004,Complaint about CAT004 issue in area XYZ,Closed,2023-10-01 00:00:00
CMP00566,C0030,D009,CAT004,Complaint about CAT004 issue in area XYZ,In Progress,2023-10-11 00:00:00
CMP00567,C0939,D005,CAT007,Complaint about CAT007 issue in area XYZ,In Progress,2023-05-24 00:00:00
CMP00568,C0242,D008,CAT003,Complaint about CAT003 issue in area XYZ,Closed,2023-02-07 00:00:00
CMP00569,C0805,D004,CAT008,Complaint about CAT008 issue in area XYZ,Submitted,2023-10-12 00:00:00
CMP00570,C0973,D006,CAT006,Complaint about CAT006 issue in area XYZ,Closed,2023-09-10 00:00:00
CMP00571,C0840,D008,CAT003,Complaint about CAT003 issue in area XYZ,In Progress,2023-01-14 00:00:00
CMP00572,C0959,D001,CAT005,Complaint about CAT005 issue in area XYZ,Submitted,2023-01-14 00:00:00
CMP00573,C0193,D001,CAT005,Complaint about CAT005 issue in area XYZ,Resolved,2023-05-21 00:00:00
CMP00574,C0260,D008,CAT003,Complaint about CAT003 issue in area XYZ,Resolved,2023-07-31 00:00:00
CMP00575,C0305,D006,CAT006,Complaint about CAT006 issue in area XYZ,In Progress,2023-07-06 00:00:00
CMP00576,C0624,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-10-22 00:00:00
CMP00577,C0750,D002,CAT002,Complaint about CAT002 issue in area XYZ,Closed,2023-02-11 00:00:00
CMP00578,C0515,D003,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-01-01 00:00:00
CMP00579,C0144,D009,CAT004,Complaint about CAT004 issue in area XYZ,In Progress,2023-10-18 00:00:00
CMP00580,C0751,D002,CAT002,Complaint about CAT002 issue in area XYZ,Submitted,2023-01-30 00:00:00
CMP00581,C0778,D001,CAT005,Complaint about CAT005 issue in area XYZ,Resolved,2023-04-04 00:00:00
CMP00582,C0908,D009,CAT004,Complaint about CAT004 issue in area XYZ,Submitted,2023-10-15 00:00:00
CMP00583,C0893,D009,CAT004,Complaint about CAT004 issue in area XYZ,Submitted,2023-03-05 00:00:00
CMP00584,C0795,D004,CAT008,Complaint about CAT008 issue in area XYZ,Submitted,2023-05-28 00:00:00
CMP00585,C0910,D009,CAT004,Complaint about CAT004 issue in area XYZ,Resolved,2023-02-07 00:00:00
CMP00586,C0691,D009,CAT004,Complaint about CAT004 issue in area XYZ,Resolved,2023-06-12 00:00:00
CMP00587,C0019,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-03-31 00:00:00
CMP00588,C0381,D004,CAT008,Complaint about CAT008 issue in area XYZ,In Progress,2023-08-11 00:00:00
CMP00589,C0901,D006,CAT006,Complaint about CAT006 issue in area XYZ,In Progress,2023-06-05 00:00:00
CMP00590,C0882,D002,CAT002,Complaint about CAT002 issue in area XYZ,Closed,2023-05-09 00:00:00
CMP00591,C0819,D007,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-01-23 00:00:00
CMP00592,C0333,D004,CAT008,Complaint about CAT008 issue in area XYZ,Closed,2023-08-22 00:00:00
CMP00593,C0892,D002,CAT002,Complaint about CAT002 issue in area XYZ,Submitted,2023-08-06 00:00:00
CMP00594,C0918,D005,CAT007,Complaint about CAT007 issue in area XYZ,In Progress,2023-04-08 00:00:00
CMP00595,C0100,D001,CAT005,Complaint about CAT005 issue in area XYZ,In Progress,2023-08-02 00:00:00
CMP00596,C0791,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-02-02 00:00:00
CMP00597,C0021,D009,CAT004,Complaint about CAT004 issue in area XYZ,Submitted,2023-06-09 00:00:00
CMP00598,C0564,D001,CAT005,Complaint about CAT005 issue in area XYZ,Closed,2023-07-31 00:00:00
CMP00599,C0650,D006,CAT006,Complaint about CAT006 issue in area XYZ,Resolved,2023-10-24 00:00:00
CMP00600,C0398,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-02-05 00:00:00
CMP00601,C0486,D008,CAT003,Complaint about CAT003 issue in area XYZ,Resolved,2023-01-18 00:00:00
CMP00602,C0053,D004,CAT008,Complaint about CAT008 issue in area XYZ,Closed,2023-03-13 00:00:00
CMP00603,C0472,D006,CAT006,Complaint about CAT006 issue in area XYZ,In Progress,2023-09-10 00:00:00
CMP00604,C0683,D001,CAT005,Complaint about CAT005 issue in area XYZ,Resolved,2023-10-05 00:00:00
CMP00605,C0990,D009,CAT004,Complaint about CAT004 issue in area XYZ,In Progress,2023-03-08 00:00:00
CMP00606,C0912,D008,CAT003,Complaint about CAT003 issue in area XYZ,Submitted,2023-02-19 00:00:00
CMP00607,C0114,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-08-01 00:00:00
CMP00608,C0546,D004,CAT008,Complaint about CAT008 issue in area XYZ,Resolved,2023-03-22 00:00:00
CMP00609,C0258,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-10-18 00:00:00
CMP00610,C0496,D003,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-06-20 00:00:00
CMP00611,C0571,D009,CAT004,Complaint about CAT004 issue in area XYZ,In Progress,2023-05-19 00:00:00
CMP00612,C0234,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-02-23 00:00:00
CMP00613,C0399,D005,CAT007,Complaint about CAT007 issue in area XYZ,Closed,2023-04-29 00:00:00
CMP00614,C0582,D009,CAT004,Complaint about CAT004 issue in area XYZ,Closed,2023-04-28 00:00:00
CMP00615,C0123,D006,CAT006,Complaint about CAT006 issue in area XYZ,Closed,2023-04-29 00:00:00
CMP00616,C0357,D005,CAT007,Complaint about CAT007 issue in area XYZ,In Progress,2023-09-21 00:00:00
CMP00617,C0853,D004,CAT008,Complaint about CAT008 issue in area XYZ,In Progress,2023-04-22 00:00:00
CMP00618,C0499,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-07-18 00:00:00
CMP00619,C0944,D007,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-03-26 00:00:00
CMP00620,C0114,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-01-23 00:00:00
CMP00621,C0819,D007,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-09-24 00:00:00
CMP00622,C0052,D006,CAT006,Complaint about CAT006 issue in area XYZ,In Progress,2023-07-25 00:00:00
CMP00623,C0726,D005,CAT007,Complaint about CAT007 issue in area XYZ,Submitted,2023-10-27 00:00:00
CMP00624,C0325,D004,CAT008,Complaint about CAT008 issue in area XYZ,Closed,2023-04-04 00:00:00
CMP00625,C0241,D003,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-08-16 00:00:00
CMP00626,C0016,D005,CAT007,Complaint about CAT007 issue in area XYZ,Submitted,2023-05-15 00:00:00
CMP00627,C0977,D006,CAT006,Complaint about CAT006 issue in area XYZ,Submitted,2023-04-22 00:00:00
CMP00628,C0366,D007,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-03-24 00:00:00
CMP00629,C0377,D005,CAT007,Complaint about CAT007 issue in area XYZ,Resolved,2023-07-10 00:00:00
CMP00630,C0015,D009,CAT004,Complaint about CAT004 issue in area XYZ,Submitted,2023-07-31 00:00:00
CMP00631,C0314,D002,CAT002,Complaint about CAT002 issue in area XYZ,Submitted,2023-08-10 00:00:00
CMP00632,C0042,D004,CAT008,Complaint about CAT008 issue in area XYZ,Closed,2023-03-07 00:00:00
CMP00633,C0575,D009,CAT004,Complaint about CAT004 issue in area XYZ,Resolved,2023-08-03 00:00:00
CMP00634,C0111,D009,CAT004,Complaint about CAT004 issue in area XYZ,Closed,2023-01-27 00:00:00
CMP00635,C0413,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-04-28 00:00:00
CMP00636,C0625,D008,CAT003,Complaint about CAT003 issue in area XYZ,Resolved,2023-05-01 00:00:00
CMP00637,C0607,D001,CAT005,Complaint about CAT005 issue in area XYZ,Resolved,2023-02-25 00:00:00
CMP00638,C0312,D009,CAT004,Complaint about CAT004 issue in area XYZ,Resolved,2023-02-28 00:00:00
CMP00639,C0141,D001,CAT005,Complaint about CAT005 issue in area XYZ,Resolved,2023-07-05 00:00:00
CMP00640,C0204,D009,CAT004,Complaint about CAT004 issue in area XYZ,Closed,2023-01-06 00:00:00
CMP00641,C0625,D003,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-02-25 00:00:00
CMP00642,C0473,D004,CAT008,Complaint about CAT008 issue in area XYZ,Submitted,2023-04-08 00:00:00
CMP00643,C0244,D003,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-07-27 00:00:00
CMP00644,C0012,D004,CAT008,Complaint about CAT008 issue in area XYZ,Submitted,2023-06-07 00:00:00
CMP00645,C0126,D006,CAT006,Complaint about CAT006 issue in area XYZ,In Progress,2023-09-02 00:00:00
CMP00646,C0451,D001,CAT005,Complaint about CAT005 issue in area XYZ,Submitted,2023-06-30 00:00:00
CMP00647,C0748,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-01-14 00:00:00
CMP00648,C0770,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-03-07 00:00:00
CMP00649,C0935,D005,CAT007,Complaint about CAT007 issue in area XYZ,Submitted,2023-08-31 00:00:00
CMP00650,C0862,D001,CAT005,Complaint about CAT005 issue in area XYZ,Submitted,2023-06-04 00:00:00
CMP00651,C0820,D002,CAT002,Complaint about CAT002 issue in area XYZ,Closed,2023-02-04 00:00:00
CMP00652,C0228,D006,CAT006,Complaint about CAT006 issue in area XYZ,Submitted,2023-07-18 00:00:00
CMP00653,C0521,D004,CAT008,Complaint about CAT008 issue in area XYZ,In Progress,2023-05-09 00:00:00
CMP00654,C0841,D001,CAT005,Complaint about CAT005 issue in area XYZ,In Progress,2023-07-26 00:00:00
CMP00655,C0578,D008,CAT003,Complaint about CAT003 issue in area XYZ,Closed,2023-07-19 00:00:00
CMP00656,C0401,D007,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-03-11 00:00:00
CMP00657,C0142,D003,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-05-29 00:00:00
CMP00658,C0418,D008,CAT003,Complaint about CAT003 issue in area XYZ,Resolved,2023-10-20 00:00:00
CMP00659,C0422,D008,CAT003,Complaint about CAT003 issue in area XYZ,In Progress,2023-01-19 00:00:00
CMP00660,C0264,D006,CAT006,Complaint about CAT006 issue in area XYZ,Closed,2023-03-03 00:00:00
CMP00661,C0023,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-02-24 00:00:00
CMP00662,C0369,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-07-30 00:00:00
CMP00663,C0744,D006,CAT006,Complaint about CAT006 issue in area XYZ,Submitted,2023-08-29 00:00:00
CMP00664,C0292,D002,CAT002,Complaint about CAT002 issue in area XYZ,Closed,2023-04-29 00:00:00
CMP00665,C0536,D004,CAT008,Complaint about CAT008 issue in area XYZ,Closed,2023-03-27 00:00:00
CMP00666,C0767,D007,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-09-27 00:00:00
CMP00667,C0832,D003,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-07-21 00:00:00
CMP00668,C0984,D009,CAT004,Complaint about CAT004 issue in area XYZ,In Progress,2023-03-17 00:00:00
CMP00669,C0874,D001,CAT005,Complaint about CAT005 issue in area XYZ,In Progress,2023-08-04 00:00:00
CMP00670,C0713,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-08-25 00:00:00
CMP00671,C0906,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-07-09 00:00:00
CMP00672,C0337,D005,CAT007,Complaint about CAT007 issue in area XYZ,Resolved,2023-08-09 00:00:00
CMP00673,C0810,D009,CAT004,Complaint about CAT004 issue in area XYZ,Submitted,2023-09-09 00:00:00
CMP00674,C0072,D001,CAT005,Complaint about CAT005 issue in area XYZ,Resolved,2023-08-25 00:00:00
CMP00675,C0686,D004,CAT008,Complaint about CAT008 issue in area XYZ,Closed,2023-09-07 00:00:00
CMP00676,C0194,D003,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-08-07 00:00:00
CMP00677,C0472,D008,CAT003,Complaint about CAT003 issue in area XYZ,Submitted,2023-01-25 00:00:00
CMP00678,C0747,D005,CAT007,Complaint about CAT007 issue in area XYZ,Submitted,2023-02-06 00:00:00
CMP00679,C0120,D008,CAT003,Complaint about CAT003 issue in area XYZ,Submitted,2023-01-08 00:00:00
CMP00680,C0941,D007,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-08-27 00:00:00
CMP00681,C0623,D008,CAT003,Complaint about CAT003 issue in area XYZ,Closed,2023-09-24 00:00:00
CMP00682,C0454,D001,CAT005,Complaint about CAT005 issue in area XYZ,In Progress,2023-05-14 00:00:00
CMP00683,C0771,D001,CAT005,Complaint about CAT005 issue in area XYZ,Resolved,2023-01-13 00:00:00
CMP00684,C0822,D005,CAT007,Complaint about CAT007 issue in area XYZ,Closed,2023-08-13 00:00:00
CMP00685,C0846,D007,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-01-12 00:00:00
CMP00686,C0384,D001,CAT005,Complaint about CAT005 issue in area XYZ,Closed,2023-10-08 00:00:00
CMP00687,C0226,D005,CAT007,Complaint about CAT007 issue in area XYZ,In Progress,2023-01-01 00:00:00
CMP00688,C0282,D001,CAT005,Complaint about CAT005 issue in area XYZ,Closed,2023-03-19 00:00:00
CMP00689,C0517,D005,CAT007,Complaint about CAT007 issue in area XYZ,Closed,2023-01-05 00:00:00
CMP00690,C0084,D008,CAT003,Complaint about CAT003 issue in area XYZ,In Progress,2023-04-26 00:00:00
CMP00691,C0837,D009,CAT004,Complaint about CAT004 issue in area XYZ,In Progress,2023-04-22 00:00:00
CMP00692,C0080,D003,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-08-11 00:00:00
CMP00693,C0897,D002,CAT002,Complaint about CAT002 issue in area XYZ,Submitted,2023-07-17 00:00:00
CMP00694,C0463,D009,CAT004,Complaint about CAT004 issue in area XYZ,In Progress,2023-04-13 00:00:00
CMP00695,C0261,D006,CAT006,Complaint about CAT006 issue in area XYZ,Closed,2023-05-25 00:00:00
CMP00696,C0930,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-07-19 00:00:00
CMP00697,C0897,D007,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-03-16 00:00:00
CMP00698,C0989,D005,CAT007,Complaint about CAT007 issue in area XYZ,Closed,2023-03-30 00:00:00
CMP00699,C0363,D003,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-01-18 00:00:00
CMP00700,C0291,D009,CAT004,Complaint about CAT004 issue in area XYZ,Submitted,2023-08-13 00:00:00
CMP00701,C0133,D006,CAT006,Complaint about CAT006 issue in area XYZ,Submitted,2023-05-29 00:00:00
CMP00702,C0581,D004,CAT008,Complaint about CAT008 issue in area XYZ,Closed,2023-06-09 00:00:00
CMP00703,C0228,D003,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-04-19 00:00:00
CMP00704,C0324,D008,CAT003,Complaint about CAT003 issue in area XYZ,Closed,2023-09-01 00:00:00
CMP00705,C0898,D001,CAT005,Complaint about CAT005 issue in area XYZ,In Progress,2023-05-06 00:00:00
CMP00706,C0062,D008,CAT003,Complaint about CAT003 issue in area XYZ,Closed,2023-07-26 00:00:00
CMP00707,C0579,D001,CAT005,Complaint about CAT005 issue in area XYZ,Resolved,2023-07-29 00:00:00
CMP00708,C0059,D009,CAT004,Complaint about CAT004 issue in area XYZ,In Progress,2023-08-26 00:00:00
CMP00709,C0981,D006,CAT006,Complaint about CAT006 issue in area XYZ,Closed,2023-06-24 00:00:00
CMP00710,C0982,D005,CAT007,Complaint about CAT007 issue in area XYZ,Closed,2023-10-26 00:00:00
CMP00711,C0568,D004,CAT008,Complaint about CAT008 issue in area XYZ,Closed,2023-09-17 00:00:00
CMP00712,C0979,D009,CAT004,Complaint about CAT004 issue in area XYZ,Resolved,2023-09-29 00:00:00
CMP00713,C0212,D007,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-02-25 00:00:00
CMP00714,C0553,D009,CAT004,Complaint about CAT004 issue in area XYZ,Submitted,2023-06-08 00:00:00
CMP00715,C0831,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-08-07 00:00:00
CMP00716,C0330,D006,CAT006,Complaint about CAT006 issue in area XYZ,In Progress,2023-03-21 00:00:00
CMP00717,C0325,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-08-18 00:00:00
CMP00718,C0682,D001,CAT005,Complaint about CAT005 issue in area XYZ,Resolved,2023-09-28 00:00:00
CMP00719,C0654,D005,CAT007,Complaint about CAT007 issue in area XYZ,Closed,2023-03-07 00:00:00
CMP00720,C0434,D009,CAT004,Complaint about CAT004 issue in area XYZ,Closed,2023-09-18 00:00:00
CMP00721,C0390,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-01-14 00:00:00
CMP00722,C0018,D003,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-09-06 00:00:00
CMP00723,C0482,D001,CAT005,Complaint about CAT005 issue in area XYZ,In Progress,2023-10-28 00:00:00
CMP00724,C0560,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-10-01 00:00:00
CMP00725,C0844,D008,CAT003,Complaint about CAT003 issue in area XYZ,Closed,2023-09-03 00:00:00
CMP00726,C0937,D001,CAT005,Complaint about CAT005 issue in area XYZ,Submitted,2023-08-20 00:00:00
CMP00727,C0506,D008,CAT003,Complaint about CAT003 issue in area XYZ,Resolved,2023-04-22 00:00:00
CMP00728,C0839,D001,CAT005,Complaint about CAT005 issue in area XYZ,Closed,2023-06-21 00:00:00
CMP00729,C0322,D006,CAT006,Complaint about CAT006 issue in area XYZ,In Progress,2023-07-15 00:00:00
CMP00730,C0419,D003,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-10-05 00:00:00
CMP00731,C0849,D009,CAT004,Complaint about CAT004 issue in area XYZ,Closed,2023-07-08 00:00:00
CMP00732,C0630,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-03-11 00:00:00
CMP00733,C0892,D008,CAT003,Complaint about CAT003 issue in area XYZ,Resolved,2023-04-29 00:00:00
CMP00734,C0669,D001,CAT005,Complaint about CAT005 issue in area XYZ,Closed,2023-09-03 00:00:00
CMP00735,C0489,D005,CAT007,Complaint about CAT007 issue in area XYZ,Closed,2023-01-05 00:00:00
CMP00736,C0500,D007,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-01-26 00:00:00
CMP00737,C0916,D004,CAT008,Complaint about CAT008 issue in area XYZ,Submitted,2023-08-24 00:00:00
CMP00738,C0546,D001,CAT005,Complaint about CAT005 issue in area XYZ,Resolved,2023-06-20 00:00:00
CMP00739,C0542,D009,CAT004,Complaint about CAT004 issue in area XYZ,Resolved,2023-05-28 00:00:00
CMP00740,C0296,D009,CAT004,Complaint about CAT004 issue in area XYZ,Resolved,2023-01-06 00:00:00
CMP00741,C0519,D005,CAT007,Complaint about CAT007 issue in area XYZ,Resolved,2023-10-12 00:00:00
CMP00742,C0675,D008,CAT003,Complaint about CAT003 issue in area XYZ,In Progress,2023-09-26 00:00:00
CMP00743,C0292,D005,CAT007,Complaint about CAT007 issue in area XYZ,Resolved,2023-03-22 00:00:00
CMP00744,C0145,D003,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-06-08 00:00:00
CMP00745,C0991,D004,CAT008,Complaint about CAT008 issue in area XYZ,In Progress,2023-04-11 00:00:00
CMP00746,C0859,D003,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-09-24 00:00:00
CMP00747,C0833,D006,CAT006,Complaint about CAT006 issue in area XYZ,Submitted,2023-03-25 00:00:00
CMP00748,C0329,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-03-05 00:00:00
CMP00749,C0114,D009,CAT004,Complaint about CAT004 issue in area XYZ,Resolved,2023-10-22 00:00:00
CMP00750,C0631,D005,CAT007,Complaint about CAT007 issue in area XYZ,In Progress,2023-10-13 00:00:00
CMP00751,C0773,D001,CAT005,Complaint about CAT005 issue in area XYZ,In Progress,2023-02-09 00:00:00
CMP00752,C0546,D009,CAT004,Complaint about CAT004 issue in area XYZ,Resolved,2023-09-01 00:00:00
CMP00753,C0312,D009,CAT004,Complaint about CAT004 issue in area XYZ,In Progress,2023-09-15 00:00:00
CMP00754,C0003,D006,CAT006,Complaint about CAT006 issue in area XYZ,Resolved,2023-05-27 00:00:00
CMP00755,C0585,D002,CAT002,Complaint about CAT002 issue in area XYZ,Closed,2023-04-12 00:00:00
CMP00756,C0574,D009,CAT004,Complaint about CAT004 issue in area XYZ,Submitted,2023-10-21 00:00:00
CMP00757,C0253,D003,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-09-01 00:00:00
CMP00758,C0382,D005,CAT007,Complaint about CAT007 issue in area XYZ,Submitted,2023-04-03 00:00:00
CMP00759,C0462,D008,CAT003,Complaint about CAT003 issue in area XYZ,Resolved,2023-09-20 00:00:00
CMP00760,C0875,D008,CAT003,Complaint about CAT003 issue in area XYZ,Closed,2023-10-05 00:00:00
CMP00761,C0093,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-10-01 00:00:00
CMP00762,C0072,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-06-09 00:00:00
CMP00763,C0027,D005,CAT007,Complaint about CAT007 issue in area XYZ,Resolved,2023-05-28 00:00:00
CMP00764,C0471,D002,CAT002,Complaint about CAT002 issue in area XYZ,Closed,2023-03-31 00:00:00
